year,question_number,subject,question_text,option_a,option_b,option_c,option_d,answer
2014,1,Environment & Ecology,What are the significances of a practical approach to sugarcane production known as 'Sustainable Sugarcane Initiative'? 1. Seed cost is very low in this compared to the conventional method of cultivation. 2. Drip irrigation can be practiced very effectively in this. 3. There is no application of chemical/inorganic fertilizers at all in this. 4. The scope for intercropping is more in this compared to the conventional method of cultivation.,1 and 3 only,"1, 2 and 4 only","2, 3 and 4 only","1, 2, 3 and 4",B
2014,2,Environment & Ecology,"If a wetland of international importance is brought under the 'Montreux Record', what does it imply?","Changes in ecological character have occurred, are occurring or are likely to occur in the wetland as a result of human interference",The country in which the wetland is located should enact a law to prohibit any human activity within five kilometres from the edge of the wetland,The survival of the wetland depends on the cultural practices and traditions of certain communities living in its vicinity and therefore the cultural diversity therein should not be destroyed,It is given the status of 'World Heritage Site',A
2014,3,Geography,Which one of the following pairs of islands is separated from each other by the 'Ten Degree Channel'?,Andaman and Nicobar,Nicobar and Sumatra,Maldives and Lakshadweep,Sumatra and Java,A
2014,4,Polity,Consider the following pairs: 1. Drought-Prone Area Programme: Ministry of Agriculture; 2. Desert Development Programme: Ministry of Environment and Forests; 3. National Watershed Development Project for Rainfed Areas: Ministry of Rural Development. Which of the above pairs is/are correctly matched?,1 and 2 only,3 only,"1, 2 and 3",,D
2014,5,Environment & Ecology,"With reference to Bombay Natural History Society (BNHS), consider the following statements: 1. It is an autonomous organization under the Ministry of Environment and Forests. 2. It strives to conserve nature through action-based research, education and public awareness. 3. It organizes and conducts nature trails and camps for the general public. Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",C
2014,6,Environment & Ecology,"With reference to 'Global Environment Facility', which of the following statements is/are correct?",It serves as financial mechanism for 'Convention on Biological Diversity' and 'United Nations Framework Convention on Climate Change',It undertakes scientific research on environmental issues at global level,It is an agency under OECD to facilitate the transfer of technology and funds to underdeveloped countries with specific aim to protect their environment,Both (a) and (b),A
2014,7,Science & Tech,"With reference to technologies for solar power production, consider the following statements: 1. 'Photovoltaics' is a technology that generates electricity by direct conversion of light into electricity, while 'Solar Thermal' is a technology that utilizes the Sun's rays to generate heat which is further used in electricity generation process. 2. Photovoltaics generates Alternating Current (AC), while Solar Thermal generates Direct Current (DC). 3. India has manufacturing base for Solar Thermal technology, but not for Photovoltaics. Which of the statements given above is/are correct?",1 only,2 and 3 only,"1, 2 and 3",,A
2014,8,Art and Culture,"Consider the following languages: 1. Gujarati, 2. Kannada, 3. Telugu. Which of the above has/have been declared as 'Classical Language/ Languages' by the Government?",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",C
2014,9,Geography,"Consider the following pairs: 1. Dampa Tiger Reserve: Mizoram, 2. Gumti Wildlife Sanctuary: Sikkim, 3. Saramati Peak: Nagaland. Which of the above pairs is/are correctly matched?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2014,10,Environment & Ecology,"With reference to a conservation organization called 'Wetlands International', which of the following statements is/are correct? 1. It is an intergovernmental organization formed by the countries which are signatories to Ramsar Convention. 2. It works at the field level to develop and mobilize knowledge, and use the practical experience to advocate for better policies.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2014,11,Current Affairs,"With reference to a grouping of countries known as BRICS, consider the following statements: 1. The First Summit of BRICS was held in Rio de Janeiro in 2009. 2. South Africa was the last to join the BRICS grouping. Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2014,12,Science & Tech,"Consider the following diseases: 1. Diphtheria, 2. Chickenpox, 3. Smallpox. Which of the above diseases has/have been eradicated in India?",1 and 2 only,3 only,"1, 2 and 3",,B
2014,13,Geography,"Which of the following phenomena might have influenced the evolution of organisms? 1. Continental drift, 2. Glacial cycles.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2014,14,Environment & Ecology,"Other than poaching, what are the possible reasons for the decline in the population of Ganges River Dolphins? 1. Construction of dams and barrages on rivers. 2. Increase in the population of crocodiles in rivers. 3. Getting trapped in fishing nets accidentally. 4. Use of synthetic fertilizers and other agricultural chemicals in crop-fields in the vicinity of rivers.",1 and 2 only,2 and 3 only,"1, 3 and 4 only","1, 2, 3 and 4",C
2014,15,Modern History,The Radcliffe Committee was appointed to,solve the problem of minorities in India,give effect to the Independence Bill,delimit the boundaries between India and Pakistan,enquire into the riots in East Bengal,C
2014,16,Environment & Ecology,Brominated flame retardants are used in many household products like mattresses and upholstery. Why is there some concern about their use? 1. They are highly resistant to degradation in the environment. 2. They are able to accumulate in humans and animals.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
